history_id,create_time,tool_id,job_memory_gb,cpu_count,system_runtime_sec,real_runtime_sec
56,2021-08-13 17:32:20.584397,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,50.0,16,4448,278
55,2021-08-13 03:59:35.247822,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,8.0,4,1116,279
55,2021-08-13 03:59:35.188687,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,8.0,4,6756,1689
55,2021-08-13 03:59:35.115341,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,8.0,4,1684,421
55,2021-08-13 03:59:35.027798,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,8.0,4,25004,6251
54,2021-08-13 03:59:33.932582,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,8.0,4,128,32
54,2021-08-13 03:59:33.872803,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,8.0,4,560,140
54,2021-08-13 03:59:33.805925,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.17.4,8.0,4,9780,2445
54,2021-08-13 03:59:33.74097,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,8.0,4,2804,701
54,2021-08-13 03:59:33.688077,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,8.0,4,3308,827
53,2021-08-13 03:59:33.59811,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,8.0,4,72,18
53,2021-08-13 03:59:33.537994,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,8.0,4,288,72
53,2021-08-13 03:59:33.480393,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.17.4,8.0,4,1864,466
53,2021-08-13 03:59:33.428747,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,8.0,4,724,181
53,2021-08-13 03:59:33.357193,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,8.0,4,588,147
52,2021-08-13 03:59:33.272395,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,8.0,4,72,18
