Run,Cloud,Job Conf,Workflow,History,Server,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes),Memory Soft Limit
1,e2,4x8,06ce99249061d778,c92d77eb191e3a48,http://34.138.22.88:8000/galaxy/,stringtie,2.1.1,ok,1.0000000,2000.0000000,34.0000000,44547249898.0000000,4999999488.0000000,16977920.0000000,9223372036854771712.0000000
1,n2,16x32,00cc7bba7f14f031,67a214296e5e36b3,http://34.75.249.162:8000/galaxy/,hisat2,2.1.0+galaxy7,ok,2.0000000,4000.0000000,70.0000000,138378429142.0000000,9999998976.0000000,8993071104.0000000,9223372036854771712.0000000
1,n2,default,79e052a475e6668b,79e2b3bcad4c7e04,http://34.75.249.162:8000/galaxy/,bwa_mem,0.7.17.1,ok,4.0000000,8000.0000000,200.0000000,780767148602.0000000,16000000000.0000000,13485592576.0000000,9223372036854771712.0000000
1,c2,4x8,2b1f44c39c87bcca,e31277ecf4199b58,http://34.73.40.159:8000/galaxy/,hisat2,2.1.0+galaxy7,ok,2.0000000,4000.0000000,66.0000000,131249206705.0000000,9999998976.0000000,8993296384.0000000,9223372036854771712.0000000
0,c2,default,fd2664cbb575fdf5,9f37a3acc430f989,http://34.73.40.159:8000/galaxy/,bwa_mem,0.7.17.1,ok,4.0000000,8000.0000000,616.0000000,733621955088.0000000,16000000000.0000000,8340377600.0000000,9223372036854771712.0000000
0,c2,16x32,4563a60c7ce8a92f,62eef8c4fba7155d,http://34.73.40.159:8000/galaxy/,stringtie,2.1.1,ok,1.0000000,2000.0000000,29.0000000,42678586824.0000000,4999999488.0000000,16101376.0000000,9223372036854771712.0000000
1,n1,16x32,9a97e21eece60c70,af8549dd761318d1,http://35.231.186.105:8000/galaxy/,hisat2,2.1.0+galaxy7,ok,2.0000000,4000.0000000,92.0000000,184193889492.0000000,9999998976.0000000,8993574912.0000000,9223372036854771712.0000000
1,n1,8x16,68b77645c1492f6d,3eaebb45f34866e9,http://35.231.186.105:8000/galaxy/,bwa,0.7.17.4,ok,4.0000000,8000.0000000,540.0000000,1808331924295.0000000,16000000000.0000000,11304841216.0000000,9223372036854771712.0000000
0,n1,16x32,9a97e21eece60c70,1ddf2c69353cf6a4,http://35.231.186.105:8000/galaxy/,stringtie,2.1.1,ok,1.0000000,2000.0000000,57.0000000,88011267949.0000000,4999999488.0000000,16789504.0000000,9223372036854771712.0000000
1,c2,16x32,4563a60c7ce8a92f,a2ee00cea955e8b1,http://34.73.40.159:8000/galaxy/,bwa,0.7.17.4,ok,4.0000000,8000.0000000,377.0000000,1287635096544.0000000,16000000000.0000000,11302965248.0000000,9223372036854771712.0000000
0,e2,default,f3571de78c266585,859ae213ae73bac7,http://34.138.22.88:8000/galaxy/,bwa,0.7.17.4,ok,4.0000000,8000.0000000,755.0000000,1782149734351.0000000,16000000000.0000000,11591184384.0000000,9223372036854771712.0000000
1,n2,8x16,5e16d22a8a32baa9,6282b6c085419a78,http://34.75.249.162:8000/galaxy/,bwa_mem,0.7.17.1,ok,4.0000000,8000.0000000,199.0000000,782051905687.0000000,16000000000.0000000,11558637568.0000000,9223372036854771712.0000000
0,c2,8x16,a53cc1dd7d2490b0,2dbff808d1d76c54,http://34.73.40.159:8000/galaxy/,bwa_mem,0.7.17.1,ok,4.0000000,8000.0000000,188.0000000,740872092413.0000000,16000000000.0000000,13027102720.0000000,9223372036854771712.0000000
1,n1,4x8,91d4a3e115d9cda2,672690a385b83e39,http://35.231.186.105:8000/galaxy/,bwa_mem,0.7.17.1,ok,4.0000000,8000.0000000,246.0000000,971296328363.0000000,16000000000.0000000,13484072960.0000000,9223372036854771712.0000000
0,n1,8x16,68b77645c1492f6d,89152235b2dab7ba,http://35.231.186.105:8000/galaxy/,hisat2,2.1.0+galaxy7,ok,2.0000000,4000.0000000,93.0000000,185859158007.0000000,9999998976.0000000,9339953152.0000000,9223372036854771712.0000000
0,n2,default,79e052a475e6668b,8ab117b2e503c4d5,http://34.75.249.162:8000/galaxy/,bwa,0.7.17.4,ok,4.0000000,8000.0000000,629.0000000,1383092796170.0000000,16000000000.0000000,11733798912.0000000,9223372036854771712.0000000
0,e2,8x16,6891a40878670c62,579102256baf50ea,http://34.138.22.88:8000/galaxy/,stringtie,2.1.1,ok,1.0000000,2000.0000000,35.0000000,48099909138.0000000,4999999488.0000000,16932864.0000000,9223372036854771712.0000000
0,n2,16x32,00cc7bba7f14f031,ce1c45353da0d182,http://34.75.249.162:8000/galaxy/,stringtie,2.1.1,ok,1.0000000,2000.0000000,32.0000000,43337605721.0000000,4999999488.0000000,15937536.0000000,9223372036854771712.0000000
0,n1,default,95a587c8ab73103e,011989b9446cfc56,http://35.231.186.105:8000/galaxy/,bowtie2,2.4.2+galaxy0,ok,2.0000000,4000.0000000,697.0000000,859698768144.0000000,9999998976.0000000,6293086208.0000000,9223372036854771712.0000000
1,e2,8x16,6891a40878670c62,99259a3f5197e938,http://34.138.22.88:8000/galaxy/,bwa,0.7.17.4,ok,4.0000000,8000.0000000,665.0000000,2123755134342.0000000,16000000000.0000000,11280842752.0000000,9223372036854771712.0000000
1,n1,default,95a587c8ab73103e,e8924317936df9d4,http://35.231.186.105:8000/galaxy/,bwa,0.7.17.4,ok,4.0000000,8000.0000000,498.0000000,1686484312722.0000000,16000000000.0000000,11303354368.0000000,9223372036854771712.0000000
1,n1,4x8,91d4a3e115d9cda2,672690a385b83e39,http://35.231.186.105:8000/galaxy/,stringtie,2.1.1,ok,1.0000000,2000.0000000,45.0000000,69166009587.0000000,4999999488.0000000,16281600.0000000,9223372036854771712.0000000
0,n2,4x8,8cd9256b535acf7f,0f352045104c4f15,http://34.75.249.162:8000/galaxy/,hisat2,2.1.0+galaxy7,ok,2.0000000,4000.0000000,71.0000000,142309407089.0000000,9999998976.0000000,9105412096.0000000,9223372036854771712.0000000
