,month_year,numusers,tool_name_version
242, 2021-05 ,       39,gd_filter_gd_snp/1.2.0                                                        
243, 2021-05 ,       39,gd_filter_gd_snp/1.2.0                                                        
244, 2021-05 ,       39,gd_filter_gd_snp/1.2.0                                                        
245, 2021-05 ,       39,gd_filter_gd_snp/1.2.0                                                        
246, 2021-05 ,       38,gd_filter_gd_snp/1.2.0                                                        
247, 2021-05 ,       38,gd_filter_gd_snp/1.2.0                                                        
248, 2021-05 ,       38,gd_filter_gd_snp/1.2.0                                                        
249, 2021-05 ,       38,gd_filter_gd_snp/1.2.0                                                        
250, 2021-05 ,       38,gd_filter_gd_snp/1.2.0                                                        
251, 2021-05 ,       37,gd_filter_gd_snp/1.2.0                                                        
252, 2021-05 ,       37,gd_filter_gd_snp/1.2.0                                                        
253, 2021-05 ,       37,gd_filter_gd_snp/1.2.0                                                        
254, 2021-05 ,       36,gd_filter_gd_snp/1.2.0                                                        
255, 2021-05 ,       36,gd_filter_gd_snp/1.2.0                                                        
256, 2021-05 ,       36,gd_filter_gd_snp/1.2.0                                                        
257, 2021-05 ,       36,gd_filter_gd_snp/1.2.0                                                        
258, 2021-05 ,       36,gd_filter_gd_snp/1.2.0                                                        
259, 2021-05 ,       36,gd_filter_gd_snp/1.2.0                                                        
260, 2021-05 ,       35,gd_filter_gd_snp/1.2.0                                                        
261, 2021-05 ,       35,gd_filter_gd_snp/1.2.0                                                        
262, 2021-05 ,       35,gd_filter_gd_snp/1.2.0                                                        
263, 2021-05 ,       35,gd_filter_gd_snp/1.2.0                                                        
264, 2021-05 ,       35,gd_filter_gd_snp/1.2.0                                                        
265, 2021-05 ,       34,gd_filter_gd_snp/1.2.0                                                        
266, 2021-05 ,       34,gd_filter_gd_snp/1.2.0                                                        
267, 2021-05 ,       34,gd_filter_gd_snp/1.2.0                                                        
268, 2021-05 ,       34,gd_filter_gd_snp/1.2.0                                                        
269, 2021-05 ,       33,gd_filter_gd_snp/1.2.0                                                        
270, 2021-05 ,       33,gd_filter_gd_snp/1.2.0                                                        
271, 2021-05 ,       33,gd_filter_gd_snp/1.2.0                                                        
272, 2021-05 ,       33,gd_filter_gd_snp/1.2.0                                                        
